id,base_id,names,base_names,phones,base_phones,websites,base_websites,addresses,base_addresses,categories,base_categories,confidence,base_confidence,label,notes
08f1faeb9cc4ba1203638ba5e205c186,5eb1bb5737938c0008d119b3,"{""primary"":""Debeka""}","{""primary"":""Debeka Servicebüro Kelkheim"",""common"":{},""rules"":[]}","[""0619573433""]","[""04961 9573433""]","[""https://www.debeka.de/""]","[""https://www.debeka.de/index.html""]","[{""freeform"":""Weberstr. 4"",""locality"":""Kelkheim (Taunus)"",""postcode"":""65779"",""region"":""Hesse"",""country"":""DE""}]","[{""freeform"":""Weberstr. 4"",""locality"":""Kelkheim (Taunus)"",""region"":""Hessen"",""country"":""DE"",""postcode"":""65779""}]","{""primary"":""bank_credit_union""}","{""primary"":""Business and Professional Services > Financial Service"",""alternate"":[""Business and Professional Services > Legal Service"",""Business and Professional Services > Financial Service > Banking and Finance > Bank""]}",0.77,1.0,,
08f2814b413328ce033257fc7c3fa188,5d4bd2d353575c0008c39cd9,"{""primary"":""Coinsource""}","{""primary"":""Coinsource Bitcoin ATM"",""common"":{},""rules"":[]}","[""+18055002646""]","[""(805) 500-2646""]","[""https://coinsource.net/?y_source=1_MTM1ODk3NzctNDQwLWxvY2F0aW9uLndlYnNpdGU=""]","[""https://coinsource.net/?y_source=1_MTM1ODk3NzctNDQwLWxvY2F0aW9uLndlYnNpdGU=""]","[{""freeform"":""1199 Skyway"",""locality"":""Chico"",""postcode"":""95928-8345"",""region"":""CA"",""country"":""US""}]","[{""freeform"":""1199 Skyway"",""locality"":""Chico"",""region"":""CA"",""country"":""US"",""postcode"":""95928""}]","{""primary"":""atms"",""alternate"":[""bank_credit_union"",""convenience_store""]}","{""primary"":""Business and Professional Services > Financial Service > Banking and Finance > ATM"",""alternate"":[]}",0.9877528662420382,1.0,,
08f396c2c4249a520347928006517d47,60ed5d1b913ed5120364c3e1,"{""primary"":""BIOCOOP Coustellet Maubec""}","{""primary"":""BIOCOOP Cultures Bio Maubec"",""common"":{},""rules"":[]}","[""+33490745178""]","[""04 90 74 51 78""]","[""https://www.instagram.com/biocoopcoustellet/""]","[""https://coustellet.biocoop.net""]","[{""freeform"":""320b Route de Cavaillon"",""locality"":""Maubec"",""postcode"":""84660"",""country"":""FR""}]","[{""freeform"":""320 B route de Cavaillon"",""locality"":""Maubec"",""country"":""FR"",""postcode"":""84660""}]","{""primary"":""organic_grocery_store"",""alternate"":[""health_food_store"",""grocery_store""]}","{""primary"":""Retail > Food and Beverage Retail > Grocery Store > Organic Grocery"",""alternate"":[]}",0.9837452982267598,1.0,,
08f44dd56d43591603a452809d5404e8,1407374890284560,"{""primary"":""Mint House Greenville""}","{""primary"":""Mint House Greenville - West End""}","[""+18559729090""]","[""8559729090""]","[""https://minthouse.com/greenville/west-end/""]","[""https://minthouse.com/greenville/west-end/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings""]","[{""freeform"":""366 Field St"",""locality"":""Greenville"",""postcode"":""29601-3562"",""region"":""SC"",""country"":""US""}]","[{""freeform"":""366 Field St"",""locality"":""Greenville"",""region"":""SC"",""country"":""US"",""postcode"":""29601""}]","{""primary"":""accommodation"",""alternate"":[""hotel"",""motel""]}","{""primary"":""resort"",""alternate"":[""hotel"",""cabin"",""holiday_rental_home""]}",0.9962614185921548,0.77,,
08f19583b0c5404303de9785ceaee7ef,844424930873716,"{""primary"":""The Old Star""}","{""primary"":""The Old Star""}","[""+441454776098""]","[""01454776098""]","[""http://www.theoldstarbristol.co.uk""]","[""http://www.theoldstarbristol.co.uk/""]","[{""freeform"":""Pye Cor"",""postcode"":""BS16 1SE"",""country"":""GB""}]","[{""freeform"":""Pye Corner"",""locality"":""Bristol"",""region"":"""",""country"":""GB"",""postcode"":""BS16 1SE""}]","{""primary"":""bed_and_breakfast"",""alternate"":[""hotel"",""pub""]}","{""primary"":""bed_and_breakfast"",""alternate"":[""motel""]}",0.9895134099616858,0.77,,
08f2f5a366c00795038b4c0f83352ee4,5cc6b461f00a70002cbf5f82,"{""primary"":""フォレストテラス明治神宮""}","{""primary"":""フォレストテラス明治神宮"",""common"":{},""rules"":[]}","[""+81333799222""]","[""03-3379-9222""]","[""https://www.meijikinenkan.gr.jp/forestterrace""]","[""https://www.meijikinenkan.gr.jp/forestterrace/""]","[{""freeform"":""東京都渋谷区代々木神園町１−１"",""locality"":""渋谷区"",""postcode"":""151-0052"",""country"":""JP""}]","[{""freeform"":""代々木神園町1-1"",""locality"":""渋谷区"",""region"":""東京都"",""country"":""JP"",""postcode"":""151-0052""}]","{""primary"":""japanese_restaurant""}","{""primary"":""Business and Professional Services > Event Space"",""alternate"":[]}",0.7927927927927928,1.0,,
08f1fb4662c8363303fb90bbcdd4a7f6,4b9ea1f5f964a5206cf536e3,"{""primary"":""Café Benjamin""}","{""primary"":""Café Benjamin"",""common"":{},""rules"":[]}","[""+33142364634""]","[""01 42 36 46 34""]","[""http://le-benjamin.zenchef.com/""]","[""http://le-benjamin.zenchef.com""]","[{""freeform"":""53 Rue de Rivoli"",""locality"":""Paris"",""postcode"":""75001"",""country"":""FR""}]","[{""freeform"":""53 rue de Rivoli"",""locality"":""Paris"",""region"":""Île-de-France"",""country"":""FR"",""postcode"":""75004""}]","{""primary"":""bar"",""alternate"":[""french_restaurant"",""cafe""]}","{""primary"":""Dining and Drinking > Bar"",""alternate"":[""Dining and Drinking > Restaurant > French Restaurant""]}",0.9837452982267598,1.0,,
08f2d03c6dd16d6303924a43a7507eb1,5193903c498e6060a4ca0791,"{""primary"":""Özel Özlem Özel Eğitim Ve Rehabilitasyon Merkezi""}","{""primary"":""özel özlem özel eğitim ve rehabilitasyon merkezi"",""common"":{},""rules"":[]}","[""+103626471291""]","[""(0362) 647 12 91""]",,[null],"[{""country"":""TR""}]","[{""country"":""TR""}]","{""primary"":""school"",""alternate"":[""college_university"",""education""]}","{""primary"":""Community and Government > Education"",""alternate"":[]}",0.48103896103896104,1.0,,
08f1f81172844d5b03c3aacfd8bfa4d9,5db94db52046d1000734708d,"{""primary"":""KFZ-Meisterbetrieb Thorsten Rall""}","{""primary"":""KFZ-Meisterbetrieb Thorsten Rall"",""common"":{},""rules"":[]}","[""+497402904898""]","[""04974 02904898""]","[""http://www.kfz-rall.de/""]","[""http://www.kfz-rall.de""]","[{""freeform"":""Hafnerweg 21"",""locality"":""Fluorn-Winzeln"",""postcode"":""78737"",""country"":""DE""}]","[{""freeform"":""Hafnerweg 21"",""locality"":""Fluorn-Winzeln"",""region"":""Baden-Württemberg"",""country"":""DE"",""postcode"":""78737""}]","{""primary"":""automotive_repair"",""alternate"":[""automotive_parts_and_accessories"",""automotive_dealer""]}","{""primary"":""Business and Professional Services > Automotive Service > Automotive Repair Shop"",""alternate"":[]}",0.9645127118644068,1.0,,
08f2a3054ea419100343bc22de5b1a6d,844424932838900,"{""primary"":""Sherwin-Williams""}","{""primary"":""Sherwin-Williams Paint Store""}","[""+16033780316""]","[""6033780316""]","[""https://www.sherwin-williams.com/store-locator/paint-store/plaistow/nh/725042""]","[""https://www.sherwin-williams.com/store-locator/paint-store/plaistow/nh/725042""]","[{""freeform"":""5 Plaistow Rd"",""locality"":""Plaistow"",""postcode"":""03865-2823"",""region"":""NH"",""country"":""US""}]","[{""freeform"":""5 Plaistow Rd Ste 5C"",""locality"":""Plaistow"",""region"":""NH"",""country"":""US"",""postcode"":""03865""}]","{""primary"":""hardware_store"",""alternate"":[""painting"",""shopping""]}","{""primary"":""paint_store"",""alternate"":[""home_improvement_store"",""retail""]}",0.9962614185921548,0.77,,
