id,base_id,base_addresses,addresses,base_categories,categories,base_phones,phones,base_websites,websites,base_names,names,base_emails,emails,base_socials,socials
08f3da11a880352a03e1b552a441aa16,08f3da11a881c3a4036450111f6f44b4,"[{""freeform"":""SIGNATURE TOWER, crossing, Delhi - Jaipur Expy"",""postcode"":""122001"",""country"":""IN""}]","[{""freeform"":""Signature Tower Crossing, Near Star Mall, Main, Delhi - Jaipur Expy, Sector 30, Gurugram, Haryana 122001"",""locality"":""Gurugram"",""postcode"":""122001"",""country"":""IN""}]","{""primary"":""dance_club"",""alternate"":[""restaurant"",""bar""]}","{""primary"":""dance_club""}","[""+919315222227""]","[""+919382222227""]","[""http://www.clubebowla.com/""]",,"{""primary"":""Ebowla Club & BYOB""}","{""primary"":""Ebowla Gurgaon""}",,,"[""https://www.facebook.com/148855188303466""]","[""https://www.facebook.com/112512511876606""]"
08f12db7756486da03e71a795e1b150a,281474980481123,"[{""freeform"":""1325 W 1st Ave Ste 204"",""locality"":""Spokane"",""region"":""WA"",""country"":""US"",""postcode"":""99201""}]","[{""freeform"":""1325 W 1st Ave"",""locality"":""Spokane"",""postcode"":""99201-4133"",""region"":""WA"",""country"":""US""}]","{""primary"":""landscape_architect"",""alternate"":[""marketing_consultant"",""consultant_and_general_service"",""landscaping"",""business_consulting"",""business_advertising"",""business_to_business_services"",""business_to_business""]}","{""primary"":""professional_services"",""alternate"":[""engineering_services""]}","[""5095702157""]","[""+15095702157""]","[""http://www.place-la.com/""]","[""http://www.place-la.com/""]","{""primary"":""PLACE Landscape Architecture""}","{""primary"":""PLACE Landscape Architecture, LLC""}",,,,"[""https://www.facebook.com/1848553052038865""]"
08f39540a8951551033cd5c0b522f9b6,1688849863718528,"[{""freeform"":""Avenida Giorgeta, 4 Bajo"",""locality"":""Valencia"",""region"":"""",""country"":""ES"",""postcode"":""46007""}]","[{""freeform"":""Avenida de Giorgeta, 4"",""locality"":""Valencia"",""postcode"":""46007"",""country"":""ES""}]","{""primary"":""mortgage_broker""}","{""primary"":""mortgage_broker"",""alternate"":[""professional_services"",""financial_service""]}","[""960830875""]","[""+34960830875""]","[""http://operfin.es/""]",,"{""primary"":""Operfín: Servicios Financieros""}","{""primary"":""Operfín""}",,,,"[""https://www.facebook.com/110551861591590""]"
1407374891558714,562949965912045,"[{""freeform"":""926 Cleveland St"",""locality"":""Greenville"",""region"":""SC"",""country"":""US"",""postcode"":""29601""}]","[{""freeform"":""926 Cleveland St"",""locality"":""Greenville"",""region"":""SC"",""country"":""US"",""postcode"":""29601""}]","{""primary"":""apartments"",""alternate"":[""condominium"",""real_estate_agent""]}","{""primary"":""apartments"",""alternate"":[""condominium"",""real_estate_agent""]}","[""8642350494""]","[""8642350494""]","[""http://www.thebristolapts.com/""]","[""https://www.thebristolapts.com/""]","{""primary"":""The Bristol""}","{""primary"":""The Bristol""}",,,,
08f1fa465b483c7103d703a6c389d372,1407374891305332,"[{""freeform"":""Luikerstraat 23"",""locality"":""Sint-Truiden"",""region"":""Limburg"",""country"":""BE"",""postcode"":""3800""}]","[{""freeform"":""Luikerstraat 23"",""locality"":""Sint-Truiden"",""postcode"":""3800"",""country"":""BE""}]","{""primary"":""building_supply_store"",""alternate"":[""telecommunications"",""process_servers"",""mobile_phone_store"",""pipeline_transportation"",""auto_electrical_repair"",""building_contractor"",""electrician"",""utility_service"",""it_service_and_computer_repair"",""television_station"",""business_equipment_and_supply"",""business_storage_and_transportation"",""automotive"",""mass_media"",""business_to_business"",""retail""]}","{""primary"":""mobile_phone_store"",""alternate"":[""telecommunications_company"",""appliance_manufacturer""]}","[""080022800""]","[""+3280022800""]","[""https://www.proximus.be/shops/proximus-shop-Sint-Truiden-Luikerstraat""]","[""https://www.proximus.be/shops/proximus-shop-Sint-Truiden-Luikerstraat""]","{""primary"":""Proximus""}","{""primary"":""Proximus Shop Sint-Truiden Luikerstraat""}",,,,"[""https://www.facebook.com/300986013940988""]"
08f28308106929aa0322048f73b8a6a1,1407374891541208,"[{""freeform"":""2844 Summit St"",""locality"":""Oakland"",""region"":""CA"",""country"":""US"",""postcode"":""94609""}]","[{""freeform"":""2844 Summit St Ste 107"",""locality"":""Oakland"",""postcode"":""94609"",""region"":""CA"",""country"":""US""}]","{""primary"":""podiatrist"",""alternate"":[""doctor"",""health_and_medical""]}","{""primary"":""podiatrist"",""alternate"":[""doctor"",""health_and_medical""]}","[""5106479364""]","[""5104633888""]","[""https://balancehealth.com/provider/richard-lavigna-dpm/bay-area-foot-care/""]","[""http://www.drrichardlavignadpm.com/""]","{""primary"":""Richard Lavigna, DPM""}","{""primary"":""Richard Lavigna Dpm""}",,,,
08f60a25956e9c320304addce950be4d,08f60a25956e9c3203395d940a167f60,"[{""freeform"":""1766 Palo Verde Ave"",""locality"":""East Palo Alto"",""postcode"":""96303"",""region"":""CA"",""country"":""US""}]","[{""freeform"":""1766 Palo Verde Ave"",""locality"":""East Palo Alto"",""postcode"":""96303"",""region"":""CA"",""country"":""US""}]","{""primary"":""building_supply_store"",""alternate"":[""retail""]}","{""primary"":""automotive""}","[""4089844462""]","[""4089844462""]","[""""]","[""""]","{""primary"":""Real Estate Profile1 - Suite""}","{""primary"":""Real Estate Profile1 - Local""}",,,,
08f44137216d105403e8dcb957543e94,1688849860612564,"[{""freeform"":""11380 Lindbergh Blvd"",""locality"":""Fort Myers"",""region"":""FL"",""country"":""US"",""postcode"":""33913""}]","[{""freeform"":""11380 Lindbergh Blvd"",""locality"":""Fort Myers"",""postcode"":""33913-8851"",""region"":""FL"",""country"":""US""}]","{""primary"":""gift_shop"",""alternate"":[""ice_cream_and_frozen_yoghurt"",""candy_store"",""chocolatier"",""restaurant"",""retail""]}","{""primary"":""chocolatier"",""alternate"":[""desserts"",""bakery""]}","[""2395617215""]","[""+12395617215""]","[""http://www.normanloveconfections.com/""]","[""http://www.normanloveconfections.com/""]","{""primary"":""Norman Love Confections""}","{""primary"":""Norman Love Confections""}",,,,"[""https://www.facebook.com/155690987484""]"
1125899909900384,2251799818810366,"[{""freeform"":""151 Trafalgar Rd"",""locality"":""London"",""region"":"""",""country"":""GB"",""postcode"":""SE10 9TX""}]","[{""freeform"":""151 Trafalgar Rd"",""locality"":""London"",""region"":"""",""country"":""GB"",""postcode"":""SE10 9TX""}]","{""primary"":""courier_and_delivery_services"",""alternate"":[""printing_services"",""shipping_center""]}","{""primary"":""courier_and_delivery_services"",""alternate"":[""printing_services"",""shipping_center""]}","[""02088585573""]","[""02081293500""]","[""https://www.mbe.co.uk/londongreenwich""]","[""https://www.mbe.co.uk/londongreenwich?utm_source=GMB&utm_medium=GoogleOrganic&utm_campaign=GMBGreenwich""]","{""primary"":""Mail Boxes Etc""}","{""primary"":""Mail Boxes Etc. Greenwich""}",,,,
08f2baa4a38803b4030fff24e83b9e53,1407374891431872,"[{""freeform"":""1323 Blvd Michèle-Bohec"",""locality"":""Blainville"",""region"":""QC"",""country"":""CA"",""postcode"":""J7C 0P8""}]","[{""freeform"":""1323 Boulevard Michèle-Bohec"",""locality"":""Blainville"",""postcode"":""J7C 0P8"",""region"":""QC"",""country"":""CA""}]","{""primary"":""bar"",""alternate"":[""pizza_restaurant"",""restaurant""]}","{""primary"":""pizza_restaurant"",""alternate"":[""italian_restaurant"",""restaurant""]}","[""4504204242""]","[""+14504204242""]","[""https://industriapizzeria.com/restaurant/blainville/""]","[""https://industriapizzeria.com/?rid=4840""]","{""primary"":""Industria Pizzeria + Bar""}","{""primary"":""Industria Pizzeria""}",,,,"[""https://www.facebook.com/431954747297410""]"
